Strain	Author	Accession	Originating_Lab	Submitting_Lab	Genbank_Accession	Database	Virus
hCoV-19/Belize/GMI-9327663/2022	Aldo Sosa et al	EPI_ISL_16921735	Central Medical Laboratory	Gorgas Memorial Institute of Health Studies		GISAID	sars2_21L
hCoV-19/Finland/THL-03057/2023	Erika Lindh et al	EPI_ISL_17222728	Huslab Finland	Expert Microbiology, National Institute for Health and Welfare		GISAID	sars2_21L
hCoV-19/USA/NY-PRL-221114_03F04/2022	Isabel Fernandez Escapa et al	EPI_ISL_15828232	Pandemic Response Lab - NYC	R&D, Pandemic Response Lab		GISAID	sars2_21L
hCoV-19/Chile/ML-132454/2022	Constanza Campano et al	EPI_ISL_16161657	Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile		GISAID	sars2_21L
hCoV-19/Ecuador/NIC-INSPI-8110392/2022	Alfredo Bruno et al	EPI_ISL_15899099	INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS-INTERLAB	INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS		GISAID	sars2_21L
hCoV-19/Argentina/LCMSC-73060-16/2023	Castro et al	EPI_ISL_16766338	Laboratorio Central, Ministerio de Salud Córdoba	Departamento Laboratorio Central and Unidad Operativa Centro Nacional de Genómica y Bioinformática		GISAID	sars2_21L
hCoV-19/Argentina/LCMSC-9684-130/2023	Castro et al	EPI_ISL_16766357	Laboratorio Central, Ministerio de Salud Córdoba	Departamento Laboratorio Central and Unidad Operativa Centro Nacional de Genómica y Bioinformática		GISAID	sars2_21L
hCoV-19/Panama/M13-GMI/2022	Claudia Gonzalez et al	EPI_ISL_16315464	Gorgas Memorial Institute of Health Studies	Gorgas Memorial Institute of Health Studies		GISAID	sars2_21L
hCoV-19/Guatemala/9790-LNS/2022	Mendoza L et al	EPI_ISL_16229094	Laboratorio Nacional de Salud (LNS), Guatemala	Laboratorio Nacional de Salud (LNS), Guatemala		GISAID	sars2_21L
hCoV-19/Guatemala/9873-LNS/2022	Mendoza L et al	EPI_ISL_16229095	Laboratorio Nacional de Salud (LNS), Guatemala	Laboratorio Nacional de Salud (LNS), Guatemala		GISAID	sars2_21L
hCoV-19/Spain/PV-HUG671/2022	Ana Gual-de-Torrella et al	EPI_ISL_16847454	Usansolo-Galdakao University Hospital	Usansolo-Galdakao University Hospital		GISAID	sars2_21L
hCoV-19/Turkey/GIHSN_14020_20/2023	Serhat Ünal et al	EPI_ISL_17343947	Turkish Society of Internal Medicine	Gen Era Diagnostics Corporation Life Science Research and Molecular Diagnostics		GISAID	sars2_21L
hCoV-19/Tunisia/G-4445/2023	Samar Ben Halima et al	EPI_ISL_17383736	Laboratoire de Virologie Clinique, Institut Pasteur de Tunis	Laboratoire de Virologie Clinique, Institut Pasteur de Tunis		GISAID	sars2_21L
hCoV-19/HongKong/VZ22356682/2022	Alan K.L. Tsang et al	EPI_ISL_16026818	Centre for Health Protection	Public Health Laboratory Centre, Hong Kong Department of Health		GISAID	sars2_21L
hCoV-19/Guatemala/11052-LNS/2022	Mendoza L et al	EPI_ISL_16510527	Laboratorio Nacional de Salud (LNS), Guatemala	Laboratorio Nacional de Salud (LNS), Guatemala		GISAID	sars2_21L
hCoV-19/Slovakia/BA_22_00043478/2022	Tomáš Szemes et al	EPI_ISL_16752952	Laboratory of Genomics and Bioinformatics, Comenius University Science Park	Laboratory of Genomics and Bioinformatics, Comenius University Science Park		GISAID	sars2_21L
hCoV-19/USA/AK-ANMC-0076/2023	James Tiesinga et al	EPI_ISL_17343368	Alaska Native Medical Center Laboratory	Alaska Native Medical Center Laboratory		GISAID	sars2_21L
hCoV-19/USA/AK-ANMC-0085/2023	James Tiesinga et al	EPI_ISL_17343377	Alaska Native Medical Center Laboratory	Alaska Native Medical Center Laboratory		GISAID	sars2_21L
hCoV-19/Germany/NW-RKI-I-1123883/2023	?	EPI_ISL_17263935	Labor Mönchengladbach MVZ Dr. Stein + Kollegen GbR	Robert Koch Institute		GISAID	sars2_21L
hCoV-19/Aruba/AW-RIVM-128129/2023	Adam Meijer et al	EPI_ISL_17275407	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Bonaire/BQ-RIVM-122534/2022	Adam Meijer et al	EPI_ISL_16445601	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Bonaire/BQ-RIVM-125208/2023	Adam Meijer et al	EPI_ISL_16760494	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Bonaire/BQ-RIVM-125213/2023	Adam Meijer et al	EPI_ISL_16760458	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Canada/PE-NML-595914/2023	Vanessa Arseneau et al	EPI_ISL_17213243	PE-QEH Dept of Lab Medicine	National Microbiology Laboratory (NML)		GISAID	sars2_21L
hCoV-19/Belgium/UGent-7625/2022	May-Linh Truong et al	EPI_ISL_16191480	Lab voor klinische biologie	Lab voor klinische biologie		GISAID	sars2_21L
hCoV-19/France/NAQ-CHUP-2301168096/2023	Luc Deroche et al	EPI_ISL_16885061	Centre Hospitalier (CH) Chatellerault	Centre Hospitalier Universitaire (CHU) Poitiers		GISAID	sars2_21L
hCoV-19/NewZealand/23XA0634/2023	Sarah Cockerton et al	EPI_ISL_16953226	Labtests Auckland	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/Botswana/R199B01_BHP_122085124/2022	Sikhulile Moyo et al	EPI_ISL_16521190	Diagnofirm Medical Laboratories	Botswana Harvard HIV Reference Laboratory		GISAID	sars2_21L
hCoV-19/Lithuania/MB31728/2022	Lukas Zemaitis et al	EPI_ISL_16473874	Viesoji istaiga Klaipedos miesto poliklinika	National Public Health Surveillance Laboratory		GISAID	sars2_21L
hCoV-19/Panama/M267073-GMI/2022	Claudia Gonzalez et al	EPI_ISL_16104840	Gorgas Memorial Institute of Health Studies	Gorgas Memorial Institute of Health Studies		GISAID	sars2_21L
hCoV-19/Ecuador/GENSBIO-INSPI-SG-127/2022	Diana Gutierrez-Pallo et al	EPI_ISL_16461426	Laboratorio de Influenza y Otros Virus Respiratorios, INSPI-CZ9	Centro de Referencia Nacional de Genomica, Secuenciacion y Bioinformatica GENSBIO, INSPI-CZ9		GISAID	sars2_21L
hCoV-19/Norway/Ahus-4799/2022	Hege Vangstein Aamot et al	EPI_ISL_16527617	Dept. of Microbiology and Infection Control, Akershus University Hospital HF	Dept. of Microbiology and Infection Control, Akershus University Hospital HF		GISAID	sars2_21L
hCoV-19/USA/OH-CDC-QDX47214668/2023	Dakota Howard et al	EPI_ISL_17180334	Quest Diagnostics Incorporated	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery		GISAID	sars2_21L
hCoV-19/Morocco/IPM20434020/2023	EL Hamouchi Adil et al	EPI_ISL_16649940	Institut Pasteur du Maroc, Medical Virology and BSL3 Laboratory	Institut Pasteur du Maroc, Centre de Séquençage Génomique		GISAID	sars2_21L
hCoV-19/Liechtenstein/FL-Risch-1124R14887/2022	Nadia Wohlwend et al	EPI_ISL_15966327	Dr. Risch Ostschweiz AG	Dr Risch Laboratory		GISAID	sars2_21L
hCoV-19/USA/KS-CDC-2-6895466/2023	Mili Sheth et al	EPI_ISL_17186071	KS Health and Environmental Laboratories	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery		GISAID	sars2_21L
hCoV-19/Chile/NB-8832/2023	Mariela Guajardo et al	EPI_ISL_16935365	Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile		GISAID	sars2_21L
hCoV-19/Chile/RM-3611/2023	Mariela Guajardo et al	EPI_ISL_16741050	Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile		GISAID	sars2_21L
hCoV-19/Austria/LB-R00128-S100/2023	Filip Sima et al	EPI_ISL_17189488	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH		GISAID	sars2_21L
hCoV-19/Uruguay/DLSP_0025/2023	Cortinas et al	EPI_ISL_16650506	Departamento Laboratorios de Salud Pública (DLSP) Ministerio de Salud Pública	Departamento Laboratorios de Salud Pública (DLSP) Ministerio de Salud Pública		GISAID	sars2_21L
hCoV-19/USA/NC-CORVASEQ-UNC-8683/2022	Jeremy Wang et al	EPI_ISL_16453388	Clinical Molecular Microbiology Laboratory, McLendon Clinical Laboratories, UNC Hospitals	Wang Lab, Department of Genetics, University of North Carolina at Chapel Hill		GISAID	sars2_21L
hCoV-19/France/GES-IPP05745/2023	Léa Avon et al	EPI_ISL_17269590	hopital	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris		GISAID	sars2_21L
hCoV-19/Panama/M268055-GMI/2022	Claudia Gonzalez et al	EPI_ISL_16817170	Gorgas Memorial Institute of Health Studies	Gorgas Memorial Institute of Health Studies		GISAID	sars2_21L
hCoV-19/Panama/M268725-GMI/2023	Claudia Gonzalez et al	EPI_ISL_16848741	Gorgas Memorial Institute of Health Studies	Gorgas Memorial Institute of Health Studies		GISAID	sars2_21L
hCoV-19/Ecuador/NIC-INSPI-8073915/2022	Alfredo Bruno et al	EPI_ISL_15898978	INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS-INTERLAB	INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS		GISAID	sars2_21L
hCoV-19/Ukraine/74327/2023	Iryna Demchyshyna et al	EPI_ISL_17063990	Reference laboratory for diagnostics of HIV/AIDS, virological and especially dangerous pathogens	Reference laboratory for diagnostics of HIV/AIDS, virological and especially dangerous pathogens		GISAID	sars2_21L
hCoV-19/Chile/AR-21496/2023	Mariela Guajardo et al	EPI_ISL_17270457	Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile		GISAID	sars2_21L
hCoV-19/Nicaragua/CNDR-49348/2022	Angel Balmaseda et al	EPI_ISL_17062276	CNDR, Departamento de Virología	CNDR, Departamento de Virología		GISAID	sars2_21L
hCoV-19/Ecuador/GENSBIO-INSPI-102400/2023	Andres Carrazco-Montalvo* et al	EPI_ISL_17240738	Laboratorio de Influenza y Otros Virus Respiratorios, INSPI-CZ9	Centro de Referencia Nacional de Genomica, Secuenciacion y Bioinformatica GENSBIO, INSPI-CZ9		GISAID	sars2_21L
hCoV-19/AntiguaandBarbuda/173413/2023	Carlos Rampersad on behalf of CARPHA et al	EPI_ISL_16913083	Mount St. John's Medical Centre	CARPHA		GISAID	sars2_21L
hCoV-19/Kazakhstan/AST-NRL-15684/2022	Madina Tleubergenova et al	EPI_ISL_16616422	National Center of Expertise in Astana city	Reference laboratory for the control of viral infections		GISAID	sars2_21L
hCoV-19/Uruguay/DLSP_0072/2023	Cortinas et al	EPI_ISL_16650519	Departamento Laboratorios de Salud Pública (DLSP) Ministerio de Salud Pública	Departamento Laboratorios de Salud Pública (DLSP) Ministerio de Salud Pública		GISAID	sars2_21L
hCoV-19/Chile/RM-1714/2023	Mariela Guajardo et al	EPI_ISL_16653574	Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile		GISAID	sars2_21L
hCoV-19/Brazil/RJ-NVBS28419GENOV852283432180/2022	Rodrigo Guarischi et al	EPI_ISL_16727016	DASA	DASA		GISAID	sars2_21L
hCoV-19/NewZealand/22YA5843/2022	Sarah Cockerton et al	EPI_ISL_16434723	Wellington SCL	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/Netherlands/UT-RIVM-122825/2022	Adam Meijer et al	EPI_ISL_16446610	National Institute for Public Health and the Environment (RIVM)	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Bulgaria/22BG-EU_022776_Pl211/2022	Alexiev et al	EPI_ISL_17446028	National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases		GISAID	sars2_21L
hCoV-19/Montenegro/CO-01061_MNE000_5157992202/2022	Danijela Vujošević et al	EPI_ISL_17296110	Laboratory for Molecular Diagnostics,IPHMN	Eurofins Genomics Europe Sequencing GmbH		GISAID	sars2_21L
hCoV-19/Australia/VIC80626/2023	Seemann et al	EPI_ISL_16910046	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)		GISAID	sars2_21L
hCoV-19/Aruba/AW-RIVM-123086/2022	Adam Meijer et al	EPI_ISL_16445599	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Guatemala/10022-LNS/2022	Mendoza L et al	EPI_ISL_16327265	Laboratorio Nacional de Salud (LNS), Guatemala	Laboratorio Nacional de Salud (LNS), Guatemala		GISAID	sars2_21L
hCoV-19/Colombia/ANT-CWOHC-VG-SEC04391W/2023	Andres F. Cardona-Rios et al	EPI_ISL_17443498	Hospital Pablo Tobon Uribe	Universidad Nacional de Colombia - Laboratorio Genómico One Health		GISAID	sars2_21L
hCoV-19/Hungary/100829-UPL23-000706/2023	Gergő Túri et al	EPI_ISL_17347311	Institute of Laboratory Medicine, Semmelweis University and Epidemiology and Surveillance Centre, Semmelweis University	iBioscience Kft.		GISAID	sars2_21L
hCoV-19/Guatemala/10501-LNS/2022	Mendoza L et al	EPI_ISL_16322720	Laboratorio Nacional de Salud (LNS), Guatemala	Laboratorio Nacional de Salud (LNS), Guatemala		GISAID	sars2_21L
hCoV-19/Slovakia/BA_23_00000739/2023	Tomáš Szemes et al	EPI_ISL_17173031	Laboratory of Genomics and Bioinformatics, Comenius University Science Park	Laboratory of Genomics and Bioinformatics, Comenius University Science Park		GISAID	sars2_21L
hCoV-19/Germany/NW-RKI-I-1119301/2023	?	EPI_ISL_17253899	Clemenshospital - Alexianer Clemenshospital Münster	Robert Koch Institute		GISAID	sars2_21L
hCoV-19/USA/AR-PHL-M00620366-F1-1/2023	Cheng Yang et al	EPI_ISL_16887559	Arkansas Public Health Laboratory	Arkansas Public Health Laboratory		GISAID	sars2_21L
hCoV-19/NorthMacedonia/IPH-MKD-4072K/2022	Teodora Buzharova et al	EPI_ISL_16649015	Laboratory of Virology - Institute of Public Health Skopje, Macedonia	Laboratory of Virology - Institute of Public Health Skopje, Macedonia		GISAID	sars2_21L
hCoV-19/Laos/LOMWRU-0862/2022	Manila Souksavanh et al	EPI_ISL_16079387	LOMWRU	LOMWRU/Microbiology Laboratory, Mahosot Hospital		GISAID	sars2_21L
hCoV-19/Namibia/NIP0046/2023	Iyaloo Konstantinus et al	EPI_ISL_17018671	NIP_Windhoek_Reference laboratory	NIP_Windhoek_Reference laboratory		GISAID	sars2_21L
hCoV-19/Mexico/CMX_IBT_IMSS_10413/2022	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in last name alphabetical order): Julio Elías Alvarado-Yaah et al	EPI_ISL_16712687	Laboratorio Central de Epidemiología (LCE)	Instituto de Biotecnología de la UNAM		GISAID	sars2_21L
hCoV-19/Curacao/CW-RIVM-126412/2023	Adam Meijer et al	EPI_ISL_17112749	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Luxembourg/LNS3576542/2023	Anke Wienecke-Baldacchino et al	EPI_ISL_16832202	BioneXt Lab	Laboratoire National de Santé Microbiology		GISAID	sars2_21L
hCoV-19/Croatia/HZJZ_3186/2023	Irena Tabain et al	EPI_ISL_17247737	Zavod za javno zdravstvo Dubrovačko-Neretvanske županije	Hrvatski zavod za javno zdravstvo		GISAID	sars2_21L
hCoV-19/NewZealand/23YA0544/2023	Sarah Cockerton et al	EPI_ISL_16953791	Medlab Central (PN)	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/Guadeloupe/IPP01363/2023	Marion Barbet et al	EPI_ISL_16682798	Hopital	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris		GISAID	sars2_21L
hCoV-19/Guadeloupe/IPP01368/2023	Marion Barbet et al	EPI_ISL_16682800	Hopital	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris		GISAID	sars2_21L
hCoV-19/Ghana/WACCBIP-GS3356/2022	Collins M. Morang'a et al	EPI_ISL_15187102	WACCBIP, Volta Road, University of Ghana, Accra, Ghana	WACCBIP, Volta Road, University of Ghana, Accra, Ghana		GISAID	sars2_21L
hCoV-19/Eswatini/N47851/2022	Maphalala G et al	EPI_ISL_14501290	Raleigh Fitkin Memorial Hospital	National Institute for Communicable Diseases of the National Health Laboratory Service		GISAID	sars2_21L
hCoV-19/HongKong/HK-HKPU-PUU048204934/2022	Gilman Kit-Hang Siu et al	EPI_ISL_15679010	Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Department of Health Technology and Informatics, The Hong Kong Polytechnic University		GISAID	sars2_21L
hCoV-19/Serbia/K566330-10/2022	Valentina Djordjevic et al	EPI_ISL_16317106	Huo-yan national laboratory for molecular detection of infectious agents Belgrade	Institute of Molecular Genetics and Genetic Engineering University of Belgrade		GISAID	sars2_21L
hCoV-19/PapuaNewGuinea/PNG8330/2022	Kumbu et al	EPI_ISL_16534427	Central Public Health Laboratory	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL), The Peter Doherty Institute for Infection and Immunity		GISAID	sars2_21L
hCoV-19/PapuaNewGuinea/PNG8314/2022	Kumbu et al	EPI_ISL_16534411	Central Public Health Laboratory	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL), The Peter Doherty Institute for Infection and Immunity		GISAID	sars2_21L
hCoV-19/Eswatini/N50587/2022	Maphalala G et al	EPI_ISL_16828982	Mbabane Government Hospital	National Institute for Communicable Diseases of the National Health Laboratory Service		GISAID	sars2_21L
hCoV-19/Mauritius/43626/2022	Ramuth M et al	EPI_ISL_14835386	Central Health Laboratory, Ministry of Health and Wellness , Mauritius	Central Health Laboratory, Ministry of Health and Wellness , Mauritius		GISAID	sars2_21L
hCoV-19/Mauritius/48378/2022	Ramuth M et al	EPI_ISL_15204426	Central Health Laboratory, Ministry of Health and Wellness , Mauritius	Central Health Laboratory, Ministry of Health and Wellness , Mauritius		GISAID	sars2_21L
hCoV-19/Eswatini/N47855/2022	Maphalala G et al	EPI_ISL_14501291	Mbabane Government Hospital	National Institute for Communicable Diseases of the National Health Laboratory Service		GISAID	sars2_21L
hCoV-19/Eswatini/N52487/2022	Maphalala G et al	EPI_ISL_17096023	Mbabane Government Hospital	National Institute for Communicable Diseases of the National Health Laboratory Service		GISAID	sars2_21L
hCoV-19/Eswatini/N50681/2022	Maphalala G et al	EPI_ISL_16829060	Hlathikhulu Government Hospital	National Institute for Communicable Diseases of the National Health Laboratory Service		GISAID	sars2_21L
hCoV-19/Eswatini/N52537/2023	Maphalala G et al	EPI_ISL_17096009	Hlathikhulu Government Hospital	National Institute for Communicable Diseases of the National Health Laboratory Service		GISAID	sars2_21L
hCoV-19/SouthAfrica/NHLS-UCT-GS-CE01/2022	Arash Iranzadeh et al	EPI_ISL_16438195	Mitchells Plain Hospital wc MPH	Wellcome Centre for Infectious Disease Research in Africa, Institute of Infectious Disease and Molecular Medicine, Division of Medical Virology, Department of Pathology, Faculty of Health Sciences (UCT), University of Cape Town and National Health Laboratory Service (NHLS)		GISAID	sars2_21L
hCoV-19/SouthAfrica/SU-NHLS_6448/2023	Tongai Maponga et al	EPI_ISL_16585496	PathCare Reference Laboratory, PathCare Park, N1 City, Cape Town	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University		GISAID	sars2_21L
hCoV-19/Brazil/RS-FIOCRUZ-21256/2022	Paola Resende et al	EPI_ISL_15436387	Laboratorio Central de Saude Publica do Estado do Rio Grande do Sul (LACEN/RS)	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ		GISAID	sars2_21L
hCoV-19/Bolivia/CBBA-PUC_MVL_3362/2022	Catalina Pardo-Roa et al	EPI_ISL_16765662	Laboratorio de Biología Molecular, IIBISMED Facultad de Medicina, Universidad Mayor de San Simón.	Laboratory of Molecular Virology, School of Medicine, Pontificia Universidad Catolica de Chile		GISAID	sars2_21L
hCoV-19/Brazil/PI-FIOCRUZ-220515000395/2022	Vladimir Costa Silva et al	EPI_ISL_17072828	LACEN Piaui	FIOCRUZ-PI		GISAID	sars2_21L
hCoV-19/Kosovo/CO-00947_XXK000_5691_07_Niph/2022	Xhevat Jakupi et al	EPI_ISL_15317529	Department of Microbiology, National Institute of Public Health of Kosovo	Department of Microbiology, National Institute of Public Health of Kosovo		GISAID	sars2_21L
hCoV-19/Curacao/CW-RIVM-107987/2022	Adam Meijer et al	EPI_ISL_14390174	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Scotland/EDB71607/2022	McHugh M et al	EPI_ISL_15347737	Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh	COVID-19 Genomics UK (COG-UK) Consortium		GISAID	sars2_21L
hCoV-19/SouthAfrica/CERI-KRISP-K043121/2022	Maponga T et al	EPI_ISL_16051988	Pathcare/ National Health Laboratory Services	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.		GISAID	sars2_21L
