Strain	Accession	Genbank_Accession	Originating_Lab	Submitting_Lab	Author	Database	Virus
hCoV-19/Belgium/Jessa_11-2223-001657/2022	EPI_ISL_13284643		Jessa	Jessa	Laura Vanstraelen et al. on behalf of the Jessa_cmdLab et al	GISAID	sars2
hCoV-19/USA/MA-CDC-LC0689953/2022	EPI_ISL_13545929	ON789567.1	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al	GISAID	sars2
hCoV-19/France/OCC-GENBIO-F17000592084/2022	EPI_ISL_12121206		Biofusion - Pechbonnieu	Gen-Bio Inovie Gravanches	Stephan Kemeny et al	GISAID	sars2
hCoV-19/Chile/RM-PUC_MVL_2842/2022	EPI_ISL_14660631		Laboratorio de Infectologia y Virologia Molecular	Laboratory of Molecular Virology, School of Medicine, Pontificia Universidad Catolica de Chile	Catalina Pardo-Roa et al	GISAID	sars2
hCoV-19/Iran/Qazvin-NIC-3kh-29/2022	EPI_ISL_13030764		Qazvinn University of Medical Sciences	National Influenza Center	NZ Shafiei Jandaghi et al	GISAID	sars2
hCoV-19/Pakistan/NIH-B56-GOV-S5/2022	EPI_ISL_13354538		Department of Virology, National Institute of Health, Islamabad, Pakistan	Department of Virology, National Institute of Health, Islamabad, Pakistan	Massab Umair et al	GISAID	sars2
hCoV-19/SaudiArabia/KAUST263/2022	EPI_ISL_15827048		King Faisal Specialist Hospital & Research Center	Pathogen Genomics Lab King Abdullah University of Science and Technology (KAUST)	Sabir A Adoub et al	GISAID	sars2
hCoV-19/BosniaandHerzegovina/AGCK1281/2022	EPI_ISL_11629400		PZU Alea	Alea Genetic Centre	Selma Durgut et al	GISAID	sars2
hCoV-19/Montenegro/CO-00892_MNE000_2069722202/2022	EPI_ISL_14509023		Laboratory for Molecular Diagnostics,IPHMN	Eurofins Genomics Europe Sequencing GmbH	Danijela Vujošević et al	GISAID	sars2
hCoV-19/Serbia/K892122-04/2022	EPI_ISL_12918344		Batajnica COVID Hospital	Institute of Molecular Genetics and Genetic Engineering University of Belgrade	Valentina Djordjevic et al	GISAID	sars2
hCoV-19/Serbia/K798158-04/2022	EPI_ISL_12918328		Batajnica COVID Hospital	Institute of Molecular Genetics and Genetic Engineering University of Belgrade	Valentina Djordjevic et al	GISAID	sars2
hCoV-19/Namibia/N43504/2022	EPI_ISL_14503076		Namibia Institute of Pathology (NIP)	National Institute for Communicable Diseases of the National Health Laboratory Service	Van Rooyen G et al	GISAID	sars2
hCoV-19/Portugal/PT28109/2022	EPI_ISL_10122074		UNILABS	Instituto Nacional de Saude (INSA)	Borges et al	GISAID	sars2
hCoV-19/Mozambique/INS-PIH0010289/2022	EPI_ISL_12511455		Biotecnology and Genetics Laboratory - Instituto Nacional de Saúde	Biotecnology and Genetics Laboratory - Instituto Nacional de Saúde	Sofia Viegas et al	GISAID	sars2
hCoV-19/Australia/SA257044/2022	EPI_ISL_13045484		SA Pathology	SA Pathology	Caitlin Selway et al	GISAID	sars2
hCoV-19/Mauritius/ILRI_CM04023/2022	EPI_ISL_14751627		International Livestock Research Institute	Central Health Laboratory (Virology Dept), Ministry of Health and Wellness	Samuel O. Oyola et al	GISAID	sars2
hCoV-19/Lebanon/A5/2022	EPI_ISL_16583636		Ain Wazein Hospital	Melhem/Matar lab	Nada M. Melhem et al	GISAID	sars2
hCoV-19/Sudan/SS5880/2022	EPI_ISL_14620408		National Public Health Laboratory - Sudan	KEMRI-Wellcome Trust Research Programme,Kilifi	Githinji G. et al	GISAID	sars2
hCoV-19/Aruba/AW-RIVM-101749/2022	EPI_ISL_13214598		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al	GISAID	sars2
hCoV-19/Bonaire/BQ-RIVM-95664/2022	EPI_ISL_11840172		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al	GISAID	sars2
hCoV-19/Bonaire/BQ-RIVM-98477/2022	EPI_ISL_12550501		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al	GISAID	sars2
hCoV-19/Spain/MC-HCUVA-43069168/2022	EPI_ISL_12227686		Hospital Clínico Universitario Virgen de la Arrixaca	Hospital Clínico Universitario Virgen de la Arrixaca	Marina Simón Páez et al	GISAID	sars2
hCoV-19/Poland/22SNR2920_wsserze/2022	EPI_ISL_14199895		Oddzial Mikrobiologii	Wojewodzka Stacja Sanitarno-Epidemiologiczna w Rzeszowie, Laboratorium Diagnostyki Medycznej	Marzena Baranowska et al	GISAID	sars2
hCoV-19/Estonia/RC0566170/2022	EPI_ISL_11739468		Synlab Eesti OÜ	1. Laboratory of Communicable Diseases (Estonia); 2. Eurofins Genomics Europe Sequencing GmbH	Abroi A. et al	GISAID	sars2
hCoV-19/Argentina/INEI120561/2022	EPI_ISL_13285010		Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran	Baumeister E. et al	GISAID	sars2
hCoV-19/Curacao/CW-RIVM-97658/2022	EPI_ISL_12550515		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al	GISAID	sars2
hCoV-19/Sweden/2A66771130099/2022	EPI_ISL_12563170		Swedish national genomic surveillance program of SARS-CoV-2	The Public Health Agency of Sweden	Emmi Andersson et al	GISAID	sars2
hCoV-19/Spain/PV-HUD-78301363/2022	EPI_ISL_12901863		Microbiology Department, University Hospital Donostia	Microbiology Department, University Hospital Donostia	Marimon JM et al	GISAID	sars2
hCoV-19/Ireland/KE-NVRL-S22IRL00169867/2022	EPI_ISL_12469164		National Virus Reference Laboratory	National Virus Reference Laboratory	Zoe Yandle et al	GISAID	sars2
hCoV-19/Aruba/AW-RIVM-97421/2022	EPI_ISL_12550425		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al	GISAID	sars2
hCoV-19/Aruba/AW-RIVM-126320/2022	EPI_ISL_16963548		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al	GISAID	sars2
hCoV-19/Mongolia/UB-270121/2022	EPI_ISL_14795094		National Center for Communicable Diseases (NCCD) National Influenza Center	National Center for Communicable Diseases (NCCD) National Influenza Center	Naranzul Tsedenbal et al	GISAID	sars2
hCoV-19/Mongolia/GS-54200/2022	EPI_ISL_14807753		National Center for Communicable Diseases (NCCD) National Influenza Center	National Center for Communicable Diseases (NCCD) National Influenza Center	Bayasgalan Namuutsetseg et al	GISAID	sars2
hCoV-19/Mongolia/UB-62430/2022	EPI_ISL_14724060		National Center for Communicable Diseases (NCCD) National Influenza Center	National Center for Communicable Diseases (NCCD) National Influenza Center	Naranzul Tsedenbal et al	GISAID	sars2
hCoV-19/Afghanistan/barcode04/2022	EPI_ISL_15063850		Central Public Health Lab	Central Public Health Lab	Momin Khan Murad et al	GISAID	sars2
hCoV-19/CaboVerde/ST-AG0760/2022	EPI_ISL_14721318		Virology Laboratory of Praia	Instituto Nacional de Saúde Pública (INSP)	Kevin Sanders et al	GISAID	sars2
hCoV-19/Russia/MOW-PMVL-DZ-48652420740/2022	EPI_ISL_15873988		N.F. Gamaleya National Research Center for Epidemiology and Microbiology of the Ministry of Health of the Russian Federation / Moscow Healthcare Department	N.F. Gamaleya National Research Center for Epidemiology and Microbiology of the Ministry of Health of the Russian Federation / Moscow Healthcare Department	Vladimir A. Gushchin et al	GISAID	sars2
hCoV-19/Suriname/SR-1054/2022	EPI_ISL_13131291		Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink et al	GISAID	sars2
hCoV-19/Kuwait/Jaber2220115005/2022	EPI_ISL_11800536		The New Kuwait German Laboratory	Virology Lab, Jaber Al Ahmad Al Sabah Hospital	Dr. Zahrah Buhamad et al	GISAID	sars2
hCoV-19/Singapore/8524/2022	EPI_ISL_13967233		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Yichen Ding et al	GISAID	sars2
hCoV-19/Beijing/BJCDC-520/2022	EPI_ISL_13859020		Beijing Center for Disease Control and Prevention	Beijing Center for Disease Control and Prevention	Zhichao liang et al	GISAID	sars2
hCoV-19/Maldives/MAV190135/2022	EPI_ISL_12635662		Indira Gandhi Memorial Hospital	Indira Gandhi Memorial Hospital	D. Fathmath Nazla Rafeeq et al	GISAID	sars2
hCoV-19/Iran/BB2845/2022	EPI_ISL_13409188		Qom University of Medical Sciences	COVID-19 National Reference Laboratory, Pasteur Institute of Iran	Ali Maleki et al	GISAID	sars2
hCoV-19/Bulgaria/22BG-EU_021243_Pl201/2022	EPI_ISL_15390200		National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases	Alexiev et al	GISAID	sars2
hCoV-19/Tunisia/14473/2022	EPI_ISL_15298443		1-Laboratory of Microbiology, National Reference Lab, Charles Nicolle Hospital; 2-University of Tunis ElManar, Faculty of Medicine of Tunis, LR99ES09, Tunis, Tunisia	Clinical and Experimental Pharmacology Lab, LR16SP02, National Center of Pharmacovigilance, University of Tunis El Manar, Tunis, Tunisia. 2- Ministry of Health, National Observatory of New and Emerging Diseases, 1006, Tunis, Tunisia	Sana Ferjani et al	GISAID	sars2
hCoV-19/Ecuador/USFQ-3482/2022	EPI_ISL_13102272		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Rommel Guevara et al	GISAID	sars2
hCoV-19/SouthKorea/KDCA81255/2022	EPI_ISL_13571845		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Jeong-Ah Kim et al	GISAID	sars2
hCoV-19/Iran/BB2525/2022	EPI_ISL_13802777		Reference laboratory of health deputy	COVID-19 National Reference Laboratory, Pasteur Institute of Iran	Ali Maleki et al	GISAID	sars2
hCoV-19/Italy/LOM_ASSTMonza_668912_20220502083700/2022	EPI_ISL_12563720		ASST MONZA	ASST MONZA	Sergio Maria Ivano Malandrin et al	GISAID	sars2
hCoV-19/Colombia/DC-IAVH-VG-18777/2022	EPI_ISL_12666276		Colsanitas Keralty	Instituto de Investigación de Recursos Biológicos Alexander von Humboldt	Nicolás D. Franco-Sierra et al	GISAID	sars2
hCoV-19/Moldova/G0095/2022	EPI_ISL_13159730		MedExpert	MedExpert	Vadim Nirca et al	GISAID	sars2
hCoV-19/CaboVerde/ST1402/2022	EPI_ISL_14076742		Virology Laboratory of Praia	Instituto Nacional de Saúde Pública (INSP)	Kevin Sanders et al	GISAID	sars2
hCoV-19/Georgia/Tb-sNGS4769/2022	EPI_ISL_11027036		Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Giorgi Tomashvili et al	GISAID	sars2
hCoV-19/Pakistan/NIH-B46-S13/2022	EPI_ISL_12289180		COVID-19 PCR Laboratory PHQ Hospital, Gilgit-Baltistan	Department of Virology, National Institute of Health, Islamabad, Pakistan	Massab Umair et al	GISAID	sars2
hCoV-19/Canada/NB-CHUDGLD-190422-MM01010R/2022	EPI_ISL_12623549		New Brunswick - Vitalite Health Network	New Brunswick - Vitalite Health Network	Chacko S. et al	GISAID	sars2
hCoV-19/Mexico/QUE_LANGEBIO_IMSS_6526/2022	EPI_ISL_13164318		Laboratorio Central de Epidemiologia (LCE)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	GISAID	sars2
hCoV-19/Pakistan/NIH-B49-GOV-S10/2022	EPI_ISL_12902391		Department of Virology, Armed Forces Institute of Pathology (AFIP), Rawalpindi, Pakistan	Department of Virology, National Institute of Health, Islamabad, Pakistan	Massab Umair et al	GISAID	sars2
hCoV-19/Turkey/HSGM-IST-00414/2022	EPI_ISL_13175966		Ministry of Health Turkey	Ministry of Health Turkey	Gülay Korukluoğlu et al	GISAID	sars2
hCoV-19/TrinidadandTobago/166002/2022	EPI_ISL_13286985		Trinidad Public Health Laboratory	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al	GISAID	sars2
hCoV-19/HongKong/CM22001292/2022	EPI_ISL_12911976		Temporary Specimen Collection Centre at the AsiaWorld-Expo, Hong Kong International Airport	Hong Kong Department of Health	Alan K.L. Tsang et al	GISAID	sars2
hCoV-19/SouthKorea/KDCA76557/2022	EPI_ISL_13440880		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Jeong-Ah Kim et al	GISAID	sars2
hCoV-19/Thailand/DMSc-09848/2022	EPI_ISL_12651422		Charoenkrung pracharak hospital	Medical Genomic Centre,Medical Life Sciences Institute,Department of Medical Sciences, Ministry of Public Health, Thailand	Surakameth Mahasirimongkol et al	GISAID	sars2
hCoV-19/Canada/MB-CPL-442780/2022	EPI_ISL_13345692		MB-Cadham Provincial laboratory	Manitoba Cadham Provincial Laboratory	David Alexander et al	GISAID	sars2
hCoV-19/USA/RI-CDC-LC0676607/2022	EPI_ISL_13220684	ON729087.1	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al	GISAID	sars2
hCoV-19/Panama/1350-GMI/2022	EPI_ISL_15224174		Gorgas Memorial Institute of Health Studies	Gorgas Memorial Institute of Health Studies	Claudia Gonzalez et al	GISAID	sars2
hCoV-19/Philippines/PGCV_0037_3677/2022	EPI_ISL_16019153		Teresita Jalandoni Provincial Hospital	PHILIPPINE GENOME CENTER VISAYAS	Dr. Cynthia P. Saloma et al	GISAID	sars2
hCoV-19/MarshallIslands/KWA-H2217168/2022	EPI_ISL_15593726		Ebeye Department of Health Services, Leiroj Hospital	State Laboratories Division, Hawaii State Department of Health	Pamela O'Brien et al	GISAID	sars2
hCoV-19/Philippines/PH-RITM-2680/2022	EPI_ISL_15675215		Jose R. Reyes Memorial Medical Center	Research Institute for Tropical Medicine	Francisco Gerardo M. Polotan et al	GISAID	sars2
hCoV-19/Taiwan/NCKUH-061022012702-re/2022	EPI_ISL_16108262		Virology Lab,Department of Pathology, National Cheng Kung University Hospital	Virology Lab,Department of Pathology, National Cheng Kung University Hospital	Huey-Pin Tsai et al	GISAID	sars2
hCoV-19/Philippines/PGCV_0048_5050/2022	EPI_ISL_16995894		Western Visayas Medical Center Sub National Laboratory	PHILIPPINE GENOME CENTER VISAYAS	Dr. Cynthia P. Saloma et al	GISAID	sars2
hCoV-19/Brunei/7723000752/2023	EPI_ISL_16994830		National Virology Reference Laboratory	Microbial Genomic Services	Zainun Zaini et al	GISAID	sars2
hCoV-19/Philippines/PH-VUI-147337/2023	EPI_ISL_16876790		Vitalab Molecular Laboratory	Philippine Genome Center Mindanao	Joel Hassan G. Tolentino et al	GISAID	sars2
hCoV-19/Singapore/R13MR39/2023	EPI_ISL_16975347		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Yichen Ding et al	GISAID	sars2
hCoV-19/India/DL-ILBS-WGS6561/2022	EPI_ISL_14584497		P BHASIN	ILBS/INSACOG	Ekta Gupta et al	GISAID	sars2
hCoV-19/Brunei/7122175422/2022	EPI_ISL_15696641		National Virology Reference Laboratory	Microbial Genomic Services	Zainun Zaini et al	GISAID	sars2
hCoV-19/Australia/TAS005133/2023	EPI_ISL_16912230		Royal Hobart Hospital	Royal Hobart Hospital	J Williamson et al	GISAID	sars2
hCoV-19/Australia/TAS004500/2022	EPI_ISL_16074070		Royal Hobart Hospital	Royal Hobart Hospital	J Williamson et al	GISAID	sars2
hCoV-19/USA/MT-ASC-210785337/2022	EPI_ISL_16310129		Aegis Sciences Corporation	Aegis Sciences Corporation	Cyndi Clark et al	GISAID	sars2
hCoV-19/Australia/NSW-SAVID-15529/2022	EPI_ISL_16348932		Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Virology Research Laboratory; Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Foster et al	GISAID	sars2
hCoV-19/Qatar/QU.18.68.C5/2022	EPI_ISL_15922941		Ministry of Public Health / Hamad Medical Corporation	Biomedical Research Center (BRC), Qatar University / Qatar Genome Project (QGP)	BRC: Heba A. Al-Khatib et al	GISAID	sars2
hCoV-19/Vietnam/NHTD-OUCRU3628/2022	EPI_ISL_15887458		National Hospital for Tropical Diseases	Oxford University Clinical Research Unit, Hanoi, Vietnam	Pham Ngoc Thach et al	GISAID	sars2
hCoV-19/Kuwait/Jaber2220413571/2022	EPI_ISL_15983208		Jaber Al Ahmad Hospital	Virology Lab, Jaber Al Ahmad Hospital	Dr. Zahrah Buhamad et al	GISAID	sars2
hCoV-19/Qatar/QU.18.62.H9/2022	EPI_ISL_15922575		Ministry of Public Health / Hamad Medical Corporation	Biomedical Research Center (BRC), Qatar University / Qatar Genome Project (QGP)	BRC: Heba A. Al-Khatib et al	GISAID	sars2
hCoV-19/Sweden/DA10123104/2022	EPI_ISL_16157185		Swedish national genomic surveillance program of SARS-CoV-2	The Public Health Agency of Sweden	Emmi Andersson et al	GISAID	sars2
hCoV-19/Malaysia/MKAKK_WC473/2022	EPI_ISL_15917137		Klinik Kesihatan Luyang	Makmal Kesihatan Awam Kota Kinabalu	Rashidah Mohamad et al	GISAID	sars2
hCoV-19/NewZealand/23ZA0420/2023	EPI_ISL_16953596		Middlemore Hospital	Institute of Environmental Science and Research (ESR)	Sarah Cockerton et al	GISAID	sars2
hCoV-19/Australia/QLD0x012E79/2023	EPI_ISL_16973359		Pathology Queensland and Forensic Scientific Services	Public Health Virology - Forensic and Scientific Services (PHV-FSS)	Chenwei Wang on behalf of Q-PHIRE Genomics et al	GISAID	sars2
hCoV-19/Australia/WA11316/2023	EPI_ISL_16902173		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al	GISAID	sars2
hCoV-19/Singapore/R13MR8/2023	EPI_ISL_16975323		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Yichen Ding et al	GISAID	sars2
hCoV-19/NewZealand/22XA6374/2022	EPI_ISL_16436224		Northland DHB Lab	Institute of Environmental Science and Research (ESR)	Sarah Cockerton et al	GISAID	sars2
hCoV-19/NewZealand/23YA0356/2022	EPI_ISL_16952693		Wellington SCL	Institute of Environmental Science and Research (ESR)	Sarah Cockerton et al	GISAID	sars2
hCoV-19/NewZealand/22YA4086/2022	EPI_ISL_15956725		Wellington SCL	Institute of Environmental Science and Research (ESR)	Sarah Cockerton et al	GISAID	sars2
hCoV-19/Australia/WA10998/2023	EPI_ISL_16717289		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al	GISAID	sars2
hCoV-19/Argentina/PAIS-A1717/2023	EPI_ISL_16732387		Hospital Alemán	Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Eugenia Ibañez et al	GISAID	sars2
hCoV-19/NewZealand/23ZA0485/2023	EPI_ISL_16953129		Canterbury SCL	Institute of Environmental Science and Research (ESR)	Sarah Cockerton et al	GISAID	sars2
hCoV-19/TrinidadandTobago/413896/2023	EPI_ISL_16911320		Trinidad Public Health Laboratory	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al	GISAID	sars2
hCoV-19/Lithuania/MB-01300121/2023	EPI_ISL_16963643		Viesoji istaiga Klaipedos miesto poliklinika	National Public Health Surveillance Laboratory	Lukas Zemaitis et al	GISAID	sars2
hCoV-19/USA/IL-RIPHL_121388_G/2023	EPI_ISL_17001201		Loyola University Medical Center	RIPHL at Rush University Medical Center	Stefan Green et al	GISAID	sars2
hCoV-19/Liechtenstein/FL-Risch-1220R15465/2022	EPI_ISL_16352060		Dr. Risch Ostschweiz AG	Dr Risch Laboratory	Nadia Wohlwend et al	GISAID	sars2
